Ano,Mes,Mes_txt,Produto,Descricao,Orçado,Realizado,Var_pct,Var_rs
2020,1,Jan,18201,18201 - SALDO DA CARTEIRA DE CREDITO,38180264.39,37146545.02,-2.70747043404642,-1033719.37
2020,1,Jan,1820101,1820101 - ADIANTAMENTOS A DEPOSITANTES,0,288.58,0,288.58
2020,1,Jan,1820102,1820102 - CHEQUE CONFIANCA,305036.41,222808.44,-26.9567721440204,-82227.97
2020,1,Jan,1820103,1820103 - CHEQUE ESPECIAL BANESTES,330763.98,176874.59,-46.525437866602,-153889.39
2020,1,Jan,1820104,1820104 - CREDITOS CEDIDOS,0,0,0,0
2020,1,Jan,1820105,1820105 - CONTA GARANTIDA,906852.48,765853.85,-15.5481330326185,-140998.63
2020,1,Jan,1820106,1820106 - REESTRUTURACAO DE DIVIDAS,2091482.83,2263613.69,8.23008716739022,172130.86
2020,1,Jan,1820107,1820107 - CONSIGNADO,17911018.55,16999178.68,-5.09094369733653,-911839.870000001
2020,1,Jan,1820108,1820108 - MICROCREDITO,107765.39,136637.36,26.7915051390804,28871.97
2020,1,Jan,1820109,1820109 - VENDOR,0,0,0,0
2020,1,Jan,1820110,1820110 - COMPROR,0,0,0,0
2020,1,Jan,1820111,1820111 - CREDITO PESSOAL,2697761.12,2643087.59,-2.02662606391185,-54673.5300000003
2020,1,Jan,1820112,1820112 - CAPITAL DE GIRO,7440025.14,7434884.55,-0.0690937181429985,-5140.58999999985
2020,1,Jan,1820113,1820113 - BANESTES FINANCEIRA,0,0,0,0
2020,1,Jan,1820114,1820114 - CARTAO VISA,550807.35,506880.36,-7.97501885187262,-43926.99
2020,1,Jan,1820115,1820115 - CARTAO BANESCARD,760493.96,725482.14,-4.60382617634464,-35011.82
2020,1,Jan,1820116,1820116 - TITULOS DESCONTADOS,955875.34,1092047.4,14.2457969467023,136172.06
2020,1,Jan,1820117,1820117 - F. PARA INVESTIMENTOS,154344.8,2120.73,-98.6259789769399,-152224.07
2020,1,Jan,1820118,1820118 - F. VEICULOS,0,0,0,0
2020,1,Jan,1820119,1820119 - F. BENS,337207.46,279830.95,-17.0151959271601,-57376.51
2020,1,Jan,1820120,1820120 - F. MOEDA ESTRANGEIRA,0,0,0,0
2020,1,Jan,1820121,1820121 - F. RURAIS,0,0,0,0
2020,1,Jan,1820122,1820122 - F. IMOBILIARIOS,3630829.58,3896956.11,7.32963429255746,266126.53
2020,1,Jan,1820123,1820123 - LEASING,0,0,0,0
2020,1,Jan,1820124,1820124 - CAMBIO,0,0,0,0
2020,1,Jan,1820126,1820126 - F. INFRAESTRUTURA,0,0,0,0
2020,1,Jan,1820127,1820127 - OPERACOES COM CARTAO DE CREDITO,0,0,0,0
2020,1,Jan,1820128,1820128 - OUTROS CREDITOS,0,0,0,0
2020,1,Jan,18202,18202 - RENDAS DA CARTEIRA DE CREDITO,880977.935181,785715.54,-10.8132555171689,-95262.3951810001
2020,1,Jan,1820201,1820201 - RENDAS ADIANTAMENTOS A DEPOSITANTES,0,14.81,0,14.81
2020,1,Jan,1820202,1820202 - RENDAS CHEQUE CONFIANCA,38619.41,18774.18,-51.3866731780729,-19845.23
2020,1,Jan,1820203,1820203 - RENDAS CHEQUE ESPECIAL BANESTES,26544.05,13558.01,-48.9226022404268,-12986.04
2020,1,Jan,1820204,1820204 - RENDAS CREDITOS CEDIDOS,0,0,0,0
2020,1,Jan,1820205,1820205 - RENDAS CONTA GARANTIDA,26233.23,17222.26,-34.3494491528493,-9010.97
2020,1,Jan,1820206,1820206 - RENDAS REESTRUTURACAO DE DIVIDAS,41940.26,45805.93,9.21708639860601,3865.67
2020,1,Jan,1820207,1820207 - RENDAS CONSIGNADO,329729.64,292149.5,-11.3972586753196,-37580.14
2020,1,Jan,1820208,1820208 - RENDAS MICROCREDITO,1629.725181,2221.44,36.3076441291116,591.714819
2020,1,Jan,1820209,1820209 - RENDAS VENDOR,0,0,0,0
2020,1,Jan,1820210,1820210 - RENDAS COMPROR,0,0,0,0
2020,1,Jan,1820211,1820211 - RENDAS CREDITO PESSOAL,126325.11,122170.19,-3.28906897448971,-4154.92
